Index,Race,Position,Oral,Written,Combine,Passed
1.00000000,0.00000000,1.00000000,89.52000000,95.00000000,92.80800000,1.00000000
2.00000000,0.00000000,1.00000000,80.00000000,95.00000000,89.00000000,1.00000000
3.00000000,0.00000000,1.00000000,82.38000000,87.00000000,85.15200000,1.00000000
4.00000000,0.00000000,1.00000000,88.57000000,76.00000000,81.02800000,1.00000000
5.00000000,0.00000000,1.00000000,76.19000000,84.00000000,80.87600000,1.00000000
6.00000000,1.00000000,1.00000000,76.19000000,82.00000000,79.67600000,1.00000000
7.00000000,0.00000000,1.00000000,76.19000000,82.00000000,79.67600000,1.00000000
8.00000000,1.00000000,1.00000000,70.00000000,84.00000000,78.40000000,1.00000000
9.00000000,0.00000000,1.00000000,73.81000000,81.00000000,78.12400000,1.00000000
10.00000000,0.00000000,1.00000000,84.29000000,72.00000000,76.91600000,1.00000000
11.00000000,0.00000000,1.00000000,87.62000000,69.00000000,76.44800000,1.00000000
12.00000000,0.00000000,1.00000000,80.00000000,74.00000000,76.40000000,1.00000000
13.00000000,1.00000000,1.00000000,79.05000000,74.00000000,76.02000000,1.00000000
14.00000000,0.00000000,1.00000000,73.81000000,77.00000000,75.72400000,1.00000000
15.00000000,0.00000000,1.00000000,76.67000000,74.00000000,75.06800000,1.00000000
16.00000000,1.00000000,1.00000000,82.38000000,70.00000000,74.95200000,1.00000000
17.00000000,0.00000000,1.00000000,73.33000000,74.00000000,73.73200000,1.00000000
18.00000000,0.00000000,1.00000000,70.00000000,76.00000000,73.60000000,1.00000000
19.00000000,1.00000000,1.00000000,68.57000000,74.00000000,71.82800000,1.00000000
20.00000000,0.00000000,1.00000000,82.38000000,64.00000000,71.35200000,1.00000000
21.00000000,0.00000000,1.00000000,56.67000000,81.00000000,71.26800000,1.00000000
22.00000000,1.00000000,1.00000000,70.95000000,70.00000000,70.38000000,1.00000000
23.00000000,0.00000000,1.00000000,62.38000000,75.00000000,69.95200000,0.00000000
24.00000000,0.00000000,1.00000000,78.57000000,64.00000000,69.82800000,0.00000000
25.00000000,0.00000000,1.00000000,71.43000000,68.00000000,69.37200000,0.00000000
26.00000000,0.00000000,1.00000000,71.43000000,68.00000000,69.37200000,0.00000000
27.00000000,0.00000000,1.00000000,59.05000000,76.00000000,69.22000000,0.00000000
28.00000000,1.00000000,1.00000000,60.48000000,75.00000000,69.19200000,0.00000000
29.00000000,0.00000000,1.00000000,57.14000000,75.00000000,67.85600000,0.00000000
30.00000000,1.00000000,1.00000000,52.38000000,77.00000000,67.15200000,0.00000000
31.00000000,1.00000000,1.00000000,67.14000000,65.00000000,65.85600000,0.00000000
32.00000000,0.00000000,1.00000000,55.24000000,68.00000000,62.89600000,0.00000000
33.00000000,1.00000000,1.00000000,58.57000000,65.00000000,62.42800000,0.00000000
34.00000000,0.00000000,1.00000000,48.57000000,69.00000000,60.82800000,0.00000000
35.00000000,1.00000000,1.00000000,67.62000000,56.00000000,60.64800000,0.00000000
36.00000000,1.00000000,1.00000000,57.14000000,61.00000000,59.45600000,0.00000000
37.00000000,1.00000000,1.00000000,70.48000000,50.00000000,58.19200000,0.00000000
38.00000000,1.00000000,1.00000000,42.86000000,67.00000000,57.34400000,0.00000000
39.00000000,0.00000000,1.00000000,53.81000000,58.00000000,56.32400000,0.00000000
40.00000000,1.00000000,1.00000000,60.00000000,53.00000000,55.80000000,0.00000000
41.00000000,1.00000000,1.00000000,54.76000000,49.00000000,51.30400000,0.00000000
42.00000000,0.00000000,0.00000000,88.75000000,91.00000000,90.10000000,1.00000000
43.00000000,0.00000000,0.00000000,87.50000000,87.00000000,87.20000000,1.00000000
44.00000000,0.00000000,0.00000000,77.50000000,91.00000000,85.60000000,1.00000000
45.00000000,0.00000000,0.00000000,85.00000000,84.00000000,84.40000000,1.00000000
46.00000000,0.00000000,0.00000000,80.00000000,87.00000000,84.20000000,1.00000000
47.00000000,0.00000000,0.00000000,73.75000000,91.00000000,84.10000000,1.00000000
48.00000000,0.00000000,0.00000000,80.83000000,84.00000000,82.73200000,1.00000000
49.00000000,0.00000000,0.00000000,73.33000000,89.00000000,82.73200000,1.00000000
50.00000000,0.00000000,0.00000000,63.75000000,95.00000000,82.50000000,1.00000000
51.00000000,0.00000000,0.00000000,68.33000000,91.00000000,81.93200000,1.00000000
52.00000000,0.00000000,0.00000000,69.58000000,86.00000000,79.43200000,1.00000000
53.00000000,0.00000000,0.00000000,73.75000000,81.00000000,78.10000000,1.00000000
54.00000000,0.00000000,0.00000000,58.75000000,89.00000000,76.90000000,1.00000000
55.00000000,1.00000000,0.00000000,77.50000000,76.00000000,76.60000000,1.00000000
56.00000000,1.00000000,0.00000000,61.25000000,86.00000000,76.10000000,1.00000000
57.00000000,1.00000000,0.00000000,80.42000000,73.00000000,75.96800000,1.00000000
58.00000000,0.00000000,0.00000000,74.17000000,77.00000000,75.86800000,1.00000000
59.00000000,0.00000000,0.00000000,63.33000000,83.00000000,75.13200000,1.00000000
60.00000000,0.00000000,0.00000000,87.50000000,66.00000000,74.60000000,1.00000000
61.00000000,1.00000000,0.00000000,65.83000000,80.00000000,74.33200000,1.00000000
62.00000000,0.00000000,0.00000000,78.33000000,70.00000000,73.33200000,1.00000000
63.00000000,1.00000000,0.00000000,70.83000000,74.00000000,72.73200000,1.00000000
64.00000000,0.00000000,0.00000000,66.67000000,76.00000000,72.26800000,1.00000000
65.00000000,1.00000000,0.00000000,92.08000000,59.00000000,72.23200000,1.00000000
66.00000000,0.00000000,0.00000000,72.50000000,72.00000000,72.20000000,1.00000000
67.00000000,0.00000000,0.00000000,73.33000000,71.00000000,71.93200000,1.00000000
68.00000000,1.00000000,0.00000000,55.00000000,82.00000000,71.20000000,1.00000000
69.00000000,1.00000000,0.00000000,69.17000000,72.00000000,70.86800000,1.00000000
70.00000000,0.00000000,0.00000000,65.83000000,74.00000000,70.73200000,1.00000000
71.00000000,0.00000000,0.00000000,58.33000000,79.00000000,70.73200000,1.00000000
72.00000000,1.00000000,0.00000000,53.75000000,82.00000000,70.70000000,1.00000000
73.00000000,0.00000000,0.00000000,77.50000000,66.00000000,70.60000000,1.00000000
74.00000000,0.00000000,0.00000000,73.75000000,68.00000000,70.30000000,1.00000000
75.00000000,0.00000000,0.00000000,71.67000000,69.00000000,70.06800000,1.00000000
76.00000000,0.00000000,0.00000000,64.58000000,73.00000000,69.63200000,0.00000000
77.00000000,1.00000000,0.00000000,70.83000000,68.00000000,69.13200000,0.00000000
78.00000000,0.00000000,0.00000000,73.75000000,66.00000000,69.10000000,0.00000000
79.00000000,0.00000000,0.00000000,58.75000000,76.00000000,69.10000000,0.00000000
80.00000000,0.00000000,0.00000000,51.25000000,80.00000000,68.50000000,0.00000000
81.00000000,1.00000000,0.00000000,62.50000000,72.00000000,68.20000000,0.00000000
82.00000000,0.00000000,0.00000000,51.67000000,79.00000000,68.06800000,0.00000000
83.00000000,1.00000000,0.00000000,70.83000000,65.00000000,67.33200000,0.00000000
84.00000000,0.00000000,0.00000000,64.58000000,69.00000000,67.23200000,0.00000000
85.00000000,0.00000000,0.00000000,79.17000000,59.00000000,67.06800000,0.00000000
86.00000000,1.00000000,0.00000000,56.25000000,73.00000000,66.30000000,0.00000000
87.00000000,0.00000000,0.00000000,55.00000000,73.00000000,65.80000000,0.00000000
88.00000000,1.00000000,0.00000000,66.25000000,65.00000000,65.50000000,0.00000000
89.00000000,0.00000000,0.00000000,50.42000000,75.00000000,65.16800000,0.00000000
90.00000000,1.00000000,0.00000000,57.50000000,70.00000000,65.00000000,0.00000000
91.00000000,1.00000000,0.00000000,69.17000000,60.00000000,63.66800000,0.00000000
92.00000000,1.00000000,0.00000000,51.67000000,71.00000000,63.26800000,0.00000000
93.00000000,0.00000000,0.00000000,71.67000000,57.00000000,62.86800000,0.00000000
94.00000000,1.00000000,0.00000000,50.42000000,71.00000000,62.76800000,0.00000000
95.00000000,0.00000000,0.00000000,56.25000000,66.00000000,62.10000000,0.00000000
96.00000000,1.00000000,0.00000000,56.67000000,64.00000000,61.06800000,0.00000000
97.00000000,1.00000000,0.00000000,56.25000000,64.00000000,60.90000000,0.00000000
98.00000000,1.00000000,0.00000000,42.50000000,73.00000000,60.80000000,0.00000000
99.00000000,1.00000000,0.00000000,51.25000000,67.00000000,60.70000000,0.00000000
100.00000000,1.00000000,0.00000000,55.00000000,64.00000000,60.40000000,0.00000000
101.00000000,1.00000000,0.00000000,51.25000000,66.00000000,60.10000000,0.00000000
102.00000000,0.00000000,0.00000000,49.58000000,67.00000000,60.03200000,0.00000000
103.00000000,0.00000000,0.00000000,60.00000000,60.00000000,60.00000000,0.00000000
104.00000000,1.00000000,0.00000000,46.25000000,68.00000000,59.30000000,0.00000000
105.00000000,1.00000000,0.00000000,60.83000000,58.00000000,59.13200000,0.00000000
106.00000000,0.00000000,0.00000000,57.92000000,58.00000000,57.96800000,0.00000000
107.00000000,0.00000000,0.00000000,51.25000000,62.00000000,57.70000000,0.00000000
108.00000000,0.00000000,0.00000000,44.58000000,66.00000000,57.43200000,0.00000000
109.00000000,1.00000000,0.00000000,44.17000000,66.00000000,57.26800000,0.00000000
110.00000000,0.00000000,0.00000000,45.42000000,65.00000000,57.16800000,0.00000000
111.00000000,1.00000000,0.00000000,55.83000000,58.00000000,57.13200000,0.00000000
112.00000000,0.00000000,0.00000000,54.58000000,58.00000000,56.63200000,0.00000000
113.00000000,1.00000000,0.00000000,58.75000000,55.00000000,56.50000000,0.00000000
114.00000000,1.00000000,0.00000000,40.83000000,64.00000000,54.73200000,0.00000000
115.00000000,1.00000000,0.00000000,52.08000000,56.00000000,54.43200000,0.00000000
116.00000000,1.00000000,0.00000000,48.33000000,58.00000000,54.13200000,0.00000000
117.00000000,1.00000000,0.00000000,52.92000000,49.00000000,50.56800000,0.00000000
118.00000000,1.00000000,0.00000000,45.83000000,46.00000000,45.93200000,0.00000000
